Algorithm,Liked Foods in Test,Found Safely,Coverage (%)
collaborative_selected,253,25,9.9
content_based_selected,253,21,8.3
hybrid_selected,253,21,8.3
popularity_selected,253,21,8.3
collaborative_all,253,20,7.9
content_based_all,253,15,5.9
hybrid_all,253,14,5.5
random,253,2,0.8
popularity_all,253,1,0.4
