Algorithm,Precision@10,Recall@10,F1@10,NDCG@10,Hit Rate,Avg Coverage,Avg Hits
Popularity,0.13636363636363635,0.24570005652893356,0.15869902404653605,0.23426953203593187,0.48484848484848486,1.0,1.3636363636363635
Content Based,0.0787878787878788,0.23483645983645984,0.11071191866998228,0.20549837200935206,0.48484848484848486,1.0,0.7878787878787878
Hybrid,0.0696969696969697,0.19490422431598903,0.09433603831061378,0.18835476666820353,0.5151515151515151,1.0,0.696969696969697
Collaborative,0.04242424242424243,0.08325123084481373,0.05095265939480056,0.04880190874787395,0.36363636363636365,0.9696969696969697,0.42424242424242425
Random,0.018181818181818184,0.025109204520969226,0.019844488812945763,0.03398366398470674,0.18181818181818182,1.0,0.18181818181818182
