Algorithm,Safe Recs,Liked,Acceptance (%)
collaborative_selected,200,25,12.5
collaborative_all,197,20,10.2
popularity_selected,231,21,9.1
hybrid_selected,259,21,8.1
content_based_selected,271,21,7.7
content_based_all,287,15,5.2
hybrid_all,269,14,5.2
random,240,2,0.8
popularity_all,260,1,0.4
