ingredient_name,phe_mg_per_100g,protein_g_per_100g,energy_kcal_per_100g,usda_name,source,phe_estimated,usda_match,usda_data_type,match_type
sesame seeds,0.94,17.73,572.897382,"seeds, sesame seeds, whole, dried",USDA,False,"Seeds, sesame seeds, whole, dried",SR Legacy,
sev (low protein),15.0,0.3,231.118802,"mayonnaise, low sodium, low calorie or diet",USDA,True,"Mayonnaise, low sodium, low calorie or diet",SR Legacy,
"shallots, chopped",0.081,2.5,71.940806,"shallots, raw",USDA,False,"Shallots, raw",SR Legacy,
shanghai greens,51.5,1.03,145.0,"olives, green",USDA,True,"Olives, green",Survey (FNDDS),
"shiitake mushrooms, dried",0.486,9.58,295.889428,"mushrooms, shiitake, dried",USDA,False,"Mushrooms, shiitake, dried",SR Legacy,
shredded cabbage,55.00000000000001,1.1,15.53539,"cabbage, kimchi",USDA,True,"Cabbage, kimchi",SR Legacy,
smoked paprika,0.61,14.14,282.266086,"spices, paprika",USDA,False,"Spices, paprika",SR Legacy,
snow peas,20.0,0.4,128.0,snow cone,USDA,True,Snow cone,Survey (FNDDS),
soy sauce,407.0,8.14,53.0,soy sauce,USDA,True,Soy sauce,Survey (FNDDS),
soy-free sauce,0.534,10.51,59.990505999999996,soy sauce made from soy (tamari),USDA,False,Soy sauce made from soy (tamari),SR Legacy,
spaghetti (low-protein if possible),0.0,0.0,340.0,spaghetti (low-protein if possible),Nutritional_Data.csv,False,,,exact
spices (rasam powder),0.37,13.46,281.788074,"spices, chili powder",USDA,False,"Spices, chili powder",SR Legacy,
spinach,0.0,0.0,23.0,spinach,Nutritional_Data.csv,False,,,exact
"spinach, fresh or frozen, cooked",0.252,5.06,130.019264,"pasta, fresh-refrigerated, spinach, cooked",USDA,False,"Pasta, fresh-refrigerated, spinach, cooked",SR Legacy,
spring onions,0.025,1.1,39.674996,"onions, raw",USDA,False,"Onions, raw",SR Legacy,
squash,40.5,0.81,24.139606,"babyfood, vegetables, squash, junior",USDA,True,"Babyfood, vegetables, squash, junior",SR Legacy,
star anise,880.0000000000001,17.6,337.237466,"spices, anise seed",USDA,True,"Spices, anise seed",SR Legacy,
steamed carrots,0.061,0.93,41.348038,"carrots, raw",USDA,False,"Carrots, raw",SR Legacy,
steamed cauliflower,361.5,7.23,65.0,"oysters, steamed",USDA,True,"Oysters, steamed",Survey (FNDDS),
steamed idli,318.0,6.36,128.0,idli,USDA,True,Idli,Survey (FNDDS),
strawberries,0.0,0.0,96.47058823529412,"strawberries, sliced, frozen, sweetened",Nutritional_Data.csv,False,,,startswith
sugar,0.0,0.0,399.14002,"sugar, turbinado",USDA,False,"Sugar, turbinado",SR Legacy,
sugar (table),0.0,0.0,319.07301,"syrups, table blends, corn, refiner, and sugar",USDA,False,"Syrups, table blends, corn, refiner, and sugar",SR Legacy,
sun-dried tomatoes,0.027,0.88,17.686443999999998,"tomatoes, red, ripe, raw, year round average",USDA,False,"Tomatoes, red, ripe, raw, year round average",SR Legacy,
swede,0.0,0.0,37.0,swede,Nutritional_Data.csv,False,,,exact
sweet corn,0.15,3.22,85.564148,"corn, sweet, white, raw",USDA,False,"Corn, sweet, white, raw",SR Legacy,
sweet peas,0.0,0.0,81.0,sweet peas,Nutritional_Data.csv,False,,,exact
sweet potato,112.99999999999999,2.26,191.0,sweet potato tots,USDA,True,Sweet potato tots,Survey (FNDDS),
sweet potato leaves,124.50000000000001,2.49,41.82605,"sweet potato leaves, raw",USDA,True,"Sweet potato leaves, raw",SR Legacy,
sweet potatoes,128.5,2.57,58.078458,"potatoes, raw, skin",USDA,True,"Potatoes, raw, skin",SR Legacy,
tahini,869.9999999999999,17.4,592.017862,"seeds, sesame butter, tahini, type of kernels unspecified",USDA,True,"Seeds, sesame butter, tahini, type of kernels unspecified",SR Legacy,
tamarind,0.0,0.0,331.02331,"candies, tamarind",USDA,False,"Candies, Tamarind",SR Legacy,
tamarind chutney,0.0,0.0,331.02331,"candies, tamarind",USDA,False,"Candies, Tamarind",SR Legacy,
tamarind paste,0.0,0.0,331.02331,"candies, tamarind",USDA,False,"Candies, Tamarind",SR Legacy,
tamarind pulp,0.0,0.0,331.02331,"candies, tamarind",USDA,False,"Candies, Tamarind",SR Legacy,
tandoori masala,165.0,3.3,56.883428,"smart soup, indian bean masala",USDA,True,"SMART SOUP, Indian Bean Masala",SR Legacy,
taro root,0.082,1.5,112.093814,"taro, raw",USDA,False,"Taro, raw",SR Legacy,
"taro, cooked",0.028,0.52,141.969564,"taro, cooked, with salt",USDA,False,"Taro, cooked, with salt",SR Legacy,
tatsoi,0.0,0.0,20.0,tatsoi,Nutritional_Data.csv,False,,,exact
thai chili,51.5,1.03,74.0,hot thai sauce,USDA,True,Hot Thai sauce,Survey (FNDDS),
thyme,278.0,5.56,101.099538,"thyme, fresh",USDA,True,"Thyme, fresh",SR Legacy,
thyme fresh,278.0,5.56,101.099538,"thyme, fresh",USDA,True,"Thyme, fresh",SR Legacy,
tomato,0.027,0.88,17.686443999999998,"tomatoes, red, ripe, raw, year round average",USDA,False,"Tomatoes, red, ripe, raw, year round average",SR Legacy,
tomato broth,0.027,0.88,17.686443999999998,"tomatoes, red, ripe, raw, year round average",USDA,False,"Tomatoes, red, ripe, raw, year round average",SR Legacy,
tomato paste,0.027,0.88,17.686443999999998,"tomatoes, red, ripe, raw, year round average",USDA,False,"Tomatoes, red, ripe, raw, year round average",SR Legacy,
tomato puree,0.027,0.88,17.686443999999998,"tomatoes, red, ripe, raw, year round average",USDA,False,"Tomatoes, red, ripe, raw, year round average",SR Legacy,
tomato sauce,0.027,0.88,17.686443999999998,"tomatoes, red, ripe, raw, year round average",USDA,False,"Tomatoes, red, ripe, raw, year round average",SR Legacy,
"tomato, fresh juice",0.027,0.88,17.686443999999998,"tomatoes, red, ripe, raw, year round average",USDA,False,"Tomatoes, red, ripe, raw, year round average",SR Legacy,
"tomato, whole",0.027,0.88,17.686443999999998,"tomatoes, red, ripe, raw, year round average",USDA,False,"Tomatoes, red, ripe, raw, year round average",SR Legacy,
tomatoes,0.027,0.88,17.686443999999998,"tomatoes, red, ripe, raw, year round average",USDA,False,"Tomatoes, red, ripe, raw, year round average",SR Legacy,
"tomatoes, cooked",0.027,0.88,17.686443999999998,"tomatoes, red, ripe, raw, year round average",USDA,False,"Tomatoes, red, ripe, raw, year round average",SR Legacy,
