Algorithm,Liked & Safe,Liked & Safe Rate,Safety Rate,Preference Rate,Liked but Unsafe,Safe but Disliked,Neither
Content Based,0.5151515151515151,0.05151515151515152,0.6151515151515152,0.0787878787878788,0.2727272727272727,5.636363636363637,3.5757575757575757
Popularity,0.48484848484848486,0.048484848484848485,0.5848484848484848,0.13636363636363635,0.8787878787878788,5.363636363636363,3.272727272727273
Hybrid,0.42424242424242425,0.04242424242424243,0.5515151515151515,0.0696969696969697,0.2727272727272727,5.090909090909091,4.212121212121212
Collaborative,0.21212121212121213,0.021212121212121213,0.5484848484848486,0.04242424242424243,0.21212121212121213,5.2727272727272725,4.0
Random,0.06060606060606061,0.006060606060606061,0.5121212121212121,0.018181818181818184,0.12121212121212122,5.0606060606060606,4.757575757575758
