Algorithm,Total Recs,Liked & Safe,Rate (%)
collaborative_selected,858,37,4.3
popularity_selected,913,36,3.9
hybrid_selected,923,36,3.9
collaborative_all,914,32,3.5
content_based_selected,923,31,3.4
hybrid_all,930,29,3.1
content_based_all,930,19,2.0
popularity_all,930,2,0.2
random,930,2,0.2
