Algorithm,Total Recs,Liked & Safe,Rate (%)
collaborative_selected,389,25,6.4
content_based_selected,406,21,5.2
hybrid_selected,406,21,5.2
popularity_selected,401,21,5.2
collaborative_all,420,20,4.8
content_based_all,420,15,3.6
hybrid_all,420,14,3.3
random,420,2,0.5
popularity_all,420,1,0.2
