Ingredient,PHE(mg),Protein(g),Energy(kcal),Serving_Size(g)
Candy corn,0.0,0.0,58.0,16.0
Canned apricots, heavy syrup,14.0,0.3,54.0,64.0
Cannellini beans (small amount),0.0,0.0,0.0,100.0
Canola oil,0.0,0.0,0.0,100.0
Cantaloupe, cubed,13.0,0.5,18.0,53.0
Cap'n Crunch,33.0,0.6,51.0,12.0
Cap'n Crunch's Crunch Berries,32.0,0.6,49.0,12.0
Cap'n Crunch's Peanut Butter,33.0,0.6,38.0,9.0
Capers,0.0,0.0,0.0,100.0
Capsicum,50.0,1.0,26.0,100.0
Caramel Popcorn,28.0,0.5,34.0,9.0
Caraway Seeds,0.0,0.0,0.0,100.0
Carbonated beverages, caffeine-free,0.0,0.0,52.0,113.0
Carrot,0.0,0.0,0.0,100.0
Carrots,0.0,0.0,0.0,100.0
Carrots, canned,15.0,0.5,17.0,50.0
Carrots, cooked,0.0,0.0,0.0,100.0
Carrots, fresh or cooked,14.0,0.4,18.0,39.0
Carrots, sliced,18.0,0.6,24.0,55.0
Casaba, cubed,15.0,0.5,15.0,57.0
Cassava,0.0,0.0,0.0,300.0
Cassava Leaves (Raw),215.0,7.0,70.0,100.0
Cassava Root (Boiled),22.0,0.6,112.0,100.0
Cassava Root (Raw),40.0,1.4,160.0,100.0
Cassava leaves,0.0,0.0,0.0,350.0
Cassava root,0.0,0.0,0.0,300.0
Cauliflower,0.0,0.0,0.0,100.0
Cauliflower rice,90.0,2.0,40.0,100.0
Cauliflower, cooked,16.0,0.4,6.0,23.0
Cauliflower, frozen,13.0,0.4,4.0,22.0
Cauliflower, raw,0.0,0.0,0.0,100.0
Cayenne,0.0,0.0,0.0,100.0
Celery,0.0,0.0,0.0,890.0
Celery Root,0.0,0.0,0.0,720.0
Celery, Cream of,20.0,0.4,22.0,31.0
Celery, diced,11.0,0.4,11.0,75.0
Celery, raw,35.0,0.7,16.0,100.0
Chaat Masala,0.0,0.0,0.0,100.0
Chaat masala,180.0,6.0,210.0,100.0
Chard, cooked,15.0,0.2,3.0,14.0
Chayote, cooked,0.0,0.0,0.0,970.5
Cheerios,35.0,0.6,17.0,4.0
Cherries, canned, heavy syrup, sour red,12.0,0.6,70.0,77.0
Cherries, canned, heavy syrup, sweet,15.0,0.5,67.0,86.0
Cherries, raw,13.0,0.6,34.0,48.0
Cherry Jam,0.0,0.0,0.0,100.0
Cherry fruit pie filling,5.0,0.2,49.0,47.0
Cherry jam,0.0,0.0,0.0,99.3
Cherry tomatoes,0.0,0.0,0.0,100.0
Chicken Gumbo,16.0,0.4,9.0,21.0
Chicken Stock,0.0,6.0,86.0,240.0
Chicken Vegetable,17.0,0.5,9.0,16.0
Chicory,0.0,0.0,0.0,100.0
Chili,0.0,0.0,0.0,100.0
Chili Flakes,50.0,1.0,40.0,10.0
Chili Sauce,0.0,0.0,0.0,100.0
Chili flakes,0.0,0.0,0.0,100.0
Chili oil,0.0,0.0,0.0,100.0
Chilli Flakes,0.0,8.0,20.0,100.0
Chinese Broccoli,0.0,0.0,0.0,805.0
Chinese Broccoli / Gai Lan,65.0,2.7,22.0,100.0
Chinese Celery,0.0,0.0,0.0,705.0
Chinese Leek,0.0,0.0,0.0,705.0
Chinese black vinegar,0.0,0.0,0.0,100.0
Chinese cabbage (Pak-choi), cooked,15.0,0.5,4.0,32.0
Chinese cabbage (Pak-choi), raw,0.0,0.0,0.0,330.0
Chinnamon Toast Crunch,30.0,0.7,80.0,19.0
Chives,0.0,0.0,0.0,100.0
Chocolate drink powder,4.0,0.1,11.0,3.0
Chocolate pudding mix,6.0,0.1,23.0,7.0
Chocolate sauce (Hershey's ®),25.0,0.5,49.0,20.0
Chocolate syrup,5.0,0.1,14.0,6.0
Chow mein noodles,35.0,0.8,38.0,7.0
Chutney,0.0,0.0,0.0,100.0
Cilantro,0.0,0.0,0.0,100.0
Cinnamon,0.0,0.0,0.0,100.0
Cinnamon powder,0.0,0.0,0.0,100.0
Cloves,0.0,0.0,0.0,100.0
Cocoa  Puffs,31.0,0.7,73.0,19.0
Cocoa Krispies,27.0,0.6,46.0,12.0
Cocoa Pebbles,33.0,0.8,66.0,16.0
Coconut,106.0,3.3,354.0,100.0
Coconut Milk,35.0,1.0,45.0,240.0
Coconut Oil,0.0,0.0,0.0,100.0
Coconut cream,0.0,0.0,0.0,100.0
Coconut milk,0.0,0.0,0.0,100.0
Coconut, dried, sweetened w/ sugar,5.0,0.1,15.0,3.0
Coffee, instant, powder,5.0,0.2,4.0,2.0
Collards, cooked,18.0,0.5,6.0,48.0
Collards, frozen,14.0,0.4,5.0,14.0
Cooked Rice,0.0,0.0,0.0,100.0
Cooked broccoli,18.0,0.6,6.0,20.0
Cookie Crisp,26.0,0.5,39.0,10.0
Cool Whip ® extra creamy,6.0,0.1,15.0,5.0
Cool Whip ® regular,6.0,0.1,22.0,8.0
Coriander,0.0,0.0,0.0,100.0
Corn,0.0,0.0,0.0,250.0
Corn Bran,32.0,0.6,31.0,9.0
Corn Chex,26.0,0.5,28.0,7.0
Corn Flakes,31.0,0.6,29.0,7.0
Corn Kernels,0.0,0.0,0.0,100.0
Corn Tortilla (6 diameter),36.0,0.7,27.0,8.0
Corn grits instant cheese flavor,36.0,0.7,27.0,36.0
Corn grits instant plain,27.0,0.5,20.0,34.0
Corn grits regular, quick (plain),33.0,0.6,28.0,45.0
Corn kernels,28.0,3.2,86.0,100.0
Corn syrup,0.0,0.0,58.0,20.0
Cornmeal,0.0,0.0,0.0,100.0
Cornstarch,0.0,0.0,0.0,100.0
Cranberry juice cocktail,1.0,0.0,72.0,126.0
Cranberry sauce, canned,5.0,0.1,104.0,69.0
Cream of Rice,30.0,0.7,42.0,81.0
Cream of Wheat Mix'n Eat flavored,33.0,0.6,33.0,38.0
Cream of Wheat Mix'n Eat plain,37.0,0.7,26.0,36.0
Cream of Wheat instant,30.0,0.6,19.0,30.0
Cream of Wheat quick,25.0,0.4,16.0,30.0
Cream of Wheat regular,30.0,0.5,19.0,30.0
Creamed corn,30.0,0.6,19.0,31.0
Creamed spinach,30.0,0.6,9.0,20.0
Crisp Rice,26.0,0.6,37.0,9.0
Crispy Wheat 'n Raisins,35.0,0.7,37.0,11.0
Cucumber,0.0,0.0,0.0,896.0
Cucumber, sliced,16.0,0.6,14.0,104.0
Cucumbers,0.0,0.0,0.0,100.0
Cumin,0.0,0.0,0.0,100.0
Cumin Powder,0.0,0.0,0.0,100.0
Cumin Seeds,0.0,0.0,0.0,100.0
Cumin powder,420.0,17.8,375.0,100.0
Curry Leaves,0.0,0.0,0.0,100.0
Curry Masala,0.0,0.0,0.0,100.0
Curry Powder,0.0,0.0,0.0,100.0
Curry leaves,93.0,6.0,108.0,100.0
Curry masala,280.0,10.0,300.0,100.0
Daikon,0.0,0.0,0.0,100.0
Dark Soy Sauce,50.0,1.0,10.0,15.0
Dark soy sauce,0.0,0.0,0.0,100.0
Dates,14.0,0.5,68.0,25.0
Dijon Mustard,0.0,0.0,0.0,100.0
Dill pickles,16.0,0.6,14.0,104.0
Dill pickles, relish,12.0,0.4,14.0,83.0
Doodads ®,34.0,0.8,35.0,7.0
Doritos®,28.0,0.7,44.0,9.0
Dosa Batter,0.0,0.0,0.0,100.0
Dosa batter,25.0,2.5,150.0,100.0
Doughnuts, Ener-G® Banana,31.0,0.8,309.0,84.0
Dried Cranberries,0.0,0.0,140.0,40.0
Dried Oregano,0.0,0.0,0.0,100.0
Dried apricots, halves,16.0,0.4,25.0,11.0
Dried chili peppers,0.0,0.0,0.0,100.0
Dried red chili peppers,0.0,0.0,0.0,100.0
Eggplant,0.0,0.0,0.0,100.0
Eggplant, cooked,17.0,0.4,13.0,48.0
Eggplant, raw,14.0,0.3,8.0,31.0
Eggs,0.0,0.0,0.0,350.0
Endive, raw, shredded,13.0,0.3,4.0,25.0
Enoki Mushroom,0.0,0.0,0.0,555.0
Exceed® Energy Drink,0.0,0.0,35.0,124.0
Farina,34.0,0.6,22.0,44.0
Fava beans,0.0,0.0,0.0,100.0
Fennel,0.0,0.0,0.0,890.0
Figs, canned, heavy syrup,15.0,0.7,180.0,168.0
Figs, dried, uncooked,14.0,0.6,48.0,19.0
Figs, whole, large,15.0,0.6,61.0,83.0
Flattened PKU Rice (Poha),0.0,0.0,0.0,100.0
Flattened PKU rice (Poha),72.0,2.3,110.0,100.0
Floral Honey,0.0,0.01,30.0,10.0
Floral honey,0.0,0.0,0.0,100.0
Flour,0.0,0.0,0.0,100.0
Flour Tortilla (6 diameter),33.0,0.7,27.0,8.0
Flour, cake,0.0,0.0,0.0,100.0
Fortified Oat Flakes,29.0,0.6,11.0,3.0
French fries (1/2 x 1/2 x 2),32.0,0.7,64.0,20.0
French salad dressing,4.0,0.1,67.0,16.0
Fresh Basil,3.0,0.08,0.58,3.0
Fresh Cream,0.0,0.0,0.0,100.0
Fresh Dill,0.65,0.03,0.43,1.0
Fresh Grated Coconut,0.0,0.0,0.0,100.0
Fresh chives,0.0,0.0,0.0,100.0
Fresh cream,108.0,2.3,195.0,100.0
Fresh fresh dill,0.0,0.0,0.0,100.0
Fresh grated coconut,97.0,3.2,354.0,100.0
Fresh rosemary,0.0,0.0,0.0,100.0
Fresh thyme,0.0,0.04,0.81,1.0
Fritos®,30.0,0.7,55.0,10.0
Froot Loops,29.0,0.6,37.0,9.0
Frosted Mini-Wheats®,38.0,0.8,28.0,8.0
Frosted Rice Krinkles®,34.0,0.8,62.0,16.0
Frosted Rice Krispies®,28.0,0.6,54.0,14.0
Frosting, strawberry and vanilla,0.0,0.0,69.0,16.0
Frozen apricots, sweetened,16.0,0.4,60.0,60.0
Fruit Roll-UPS®,4.0,0.2,55.0,14.0
Fruit Wheat Squares,32.0,0.7,35.0,10.0
Fruit butters,1.0,0.1,13.0,7.0
Fruit cocktail, canned, heavy syrup,14.0,0.4,93.0,128.0
Fruit ice,6.0,0.2,62.0,48.0
Fruit ices,0.0,0.0,69.0,100.0
Fruit juice bar,2.0,0.1,43.0,52.0
Fruit medley tropical fruit dessert,5.0,0.2,64.0,100.0
Fruit punch,5.0,0.2,113.0,218.0
Fruit salad,5.0,0.2,32.0,50.0
Fruit salad, canned, heavy syrup,14.0,0.4,94.0,128.0
Fruity Pebbles®,28.0,0.6,66.0,16.0
Fun Fruits®,2.0,0.1,100.0,26.0
Fuzzy Melon,0.0,0.0,0.0,905.0
Garden carrots/brown rice,15.0,0.4,20.0,47.0
Garden vegetables,30.0,0.4,11.0,30.0
Garlic Chives,0.0,0.0,0.0,705.0
Garlic Powder,0.0,0.0,0.0,100.0
Garlic Sprouts,0.0,0.0,0.0,555.0
Garlic chives,0.0,0.0,0.0,100.0
Garlic powder,0.0,0.0,0.0,100.0
Garlic, raw,134.0,6.4,149.0,100.0
Gatorade®,0.0,0.0,25.0,125.0
Gelatin pop,5.0,0.3,16.0,22.0
Ghee,0.0,0.0,900.0,100.0
Ginger,0.0,0.0,0.0,100.0
Ginger, raw,0.0,0.0,0.0,100.0
Golden Grahams,28.0,0.5,38.0,10.0
Goldfish ®, original,29.0,0.6,44.0,9.0
Gooseberries, canned, light syrup,15.0,0.4,46.0,63.0
Granny Smith Golden Apples,0.0,0.0,0.0,1018.4
Granulated sugar,0.0,0.0,0.0,100.0
Grape Nuts Flakes®,33.0,0.7,22.0,6.0
Grapefruit, canned, light syrup,15.0,0.5,50.0,85.0
Grapefruit, juice, canned, unsweetened,19.0,0.6,48.0,124.0
Grapefruit, sections,16.0,0.5,24.0,77.0
Grapes, Thompson, seedless, canned, heavy syrup,13.0,0.6,93.0,128.0
Grapes, adherent skin,16.0,0.8,86.0,120.0
Grapes, juice, canned,15.0,0.7,78.0,126.0
Grapes, slipskin,12.0,0.6,58.0,92.0
Grapeseed Oil,0.0,0.0,0.0,1206.0
Grapeseed oil,0.0,0.0,90.0,10.0
Gravy mushroom mix, dry,4.0,0.1,3.0,1.0
Gravy mushroom, canned,6.0,0.1,5.0,10.0
Gravy onion mix, dry,5.0,0.1,3.0,1.0
Green Bananas,0.0,0.0,0.0,350.0
Green Beans,0.0,0.0,0.0,860.0
Green Bell Peppers,0.0,0.0,0.0,100.0
Green Cabbage,0.0,0.0,0.0,880.0
Green Chili,0.0,0.0,0.0,100.0
Green Chutney,0.0,0.0,0.0,100.0
Green apple,25.0,0.3,52.0,100.0
Green beans,0.0,0.0,0.0,300.0
Green beans/rice,15.0,0.3,12.0,28.0
Green bell pepper,0.0,0.0,0.0,100.0
Green bell peppers,0.0,0.0,0.0,100.0
Green cabbage,0.0,0.0,0.0,100.0
Green chili,0.0,0.0,0.0,100.0
Green chutney (avg.),55.0,1.2,70.0,100.0
Green peas,0.0,0.0,0.0,100.0
Green peppers, cooked,13.0,0.4,12.0,68.0
Green peppers, raw,13.0,0.4,13.0,50.0
Greenbeans/potatoes,30.0,0.6,16.0,26.0
Grilled radicchio,0.0,0.0,0.0,100.0
Ground Cinnamon,0.0,0.0,5.0,3.0
Ground white pepper,0.0,0.0,0.0,100.0
Guava tropical fruit dessert,5.0,0.1,58.0,83.0
Guava, raw,2.0,0.7,45.0,90.0
Guava, sauce,1.0,0.4,43.0,119.0
Gumdrops,0.0,0.0,14.0,4.0
Hard candy,0.0,0.0,39.0,10.0
Hawaiian delight dessert, 2nd Foods,15.0,0.3,20.0,24.0
Hawaiian delight dessert, 3rd Foods,15.0,0.3,18.0,21.0
Ho Ho's ®,27.0,0.6,60.0,14.0
Honey,0.0,0.0,0.0,100.0
Honey Nut Cheerios®,27.0,0.5,18.0,5.0
Honey Nut Corn Flakes®,31.0,0.6,38.0,9.0
Honeycomb®,33.0,0.6,43.0,11.0
Honeydew, cubed,11.0,0.4,30.0,85.0
Horseradish,0.0,0.0,0.0,100.0
Hubbard squash, baked, cubed,15.0,0.6,13.0,26.0
Hubbard squash, boiled, mashed,17.0,0.4,9.0,30.0
Ice cream cone, wafer type,22.0,0.4,17.0,4.0
Idli Batter,0.0,0.0,0.0,100.0
Idli batter,20.0,2.0,120.0,100.0
Italian salad dressing,4.0,0.1,69.0,15.0
Italian seasoning,0.0,0.0,0.0,100.0
Jaggery,40.0,0.4,383.0,100.0
James,1.0,0.1,18.0,7.0
Japanese/Lebanese cucumbers,0.0,0.0,0.0,470.0
Jell-O ®, w/ sugar,30.0,0.6,65.0,80.0
Jellies,0.0,0.0,50.0,20.0
Jelly beans,0.0,0.0,103.0,28.0
Jicama slices, raw,0.0,0.0,0.0,805.0
Kabocha,35.0,1.2,38.0,100.0
Kabocha Squash,0.0,0.0,0.0,955.0
Kabocha squash,28.0,1.2,35.0,100.0
Kabocha squash (roasted, chopped),0.0,0.0,0.0,947.0
Kailan,0.0,0.0,0.0,805.0
Kale, cooked,16.0,0.3,5.0,16.0
King Vitaman®,29.0,0.5,43.0,11.0
Kiwi fruit,16.0,0.5,31.0,50.0
Kix®,29.0,0.6,24.0,6.0
Kohlrabi, sliced, cooked,17.0,0.7,12.0,41.0
Kohlrabi, sliced, raw,0.0,0.0,0.0,890.0
Komatsuna,0.0,0.0,0.0,705.0
Kool-Aid®, sweetened w/ sugar,0.0,0.0,48.0,125.0
Korean red pepper flakes,0.0,0.0,0.0,100.0
Lard,0.0,0.0,0.0,100.0
Leek,0.0,0.0,0.0,100.0
Lemon,0.0,0.0,0.0,100.0
Lemon Juice,0.0,0.0,0.0,100.0
Lemon Zest,0.0,0.0,0.0,100.0
Lemon juice,0.0,0.0,0.0,100.0
Lemon pudding, canned (Hunt's®),0.0,0.0,151.0,121.0
Lemon zest,0.0,4.0,100.0,28.0
Lentils,0.0,0.0,0.0,100.0
Lettuce,0.0,0.0,0.0,705.0
Lettuce bibb and Boston, raw,16.0,0.4,4.0,30.0
Lettuce iceberg, shredded,14.0,0.3,4.0,28.0
Life®,28.0,0.5,10.0,3.0
Lime juice,0.0,0.0,0.0,100.0
Limeade, sweetened w/ sugar,0.0,0.0,51.0,125.0
Liquid nondairy creamer, w/ sodium caseinate,6.0,0.1,14.0,10.0
Liquor,0.0,0.0,70.0,28.0
Lollipop,0.0,0.0,108.0,28.0
Lotus Root,0.0,0.0,0.0,805.0
Lotus root,0.0,0.0,0.0,618.8
Low protein bread,29.0,1.0,200.0,100.0
Low-Protein Rice,0.0,0.0,0.0,100.0
Low-protein beans,0.0,0.0,0.0,350.0
Low-protein flour,0.0,0.0,0.0,350.0
Low-protein peanut substitute,0.0,0.0,0.0,100.0
Low-protein rice,0.0,0.0,0.0,450.0
Lucky Charms®,30.0,0.5,23.0,6.0
M&M ® candy, plain,6.0,0.2,8.0,2.0
Macaroni,31.0,0.6,18.0,12.0
Maize,0.0,0.0,0.0,250.0
Malt-o-Meal,29.0,0.5,18.0,35.0
Maltax,33.0,0.7,22.0,31.0
Mango tropical fruit dessert,5.0,0.1,43.0,50.0
Mango/banana/passion fruit juice,6.0,0.1,34.0,57.0
Mangoes, sliced,14.0,0.4,54.0,82.0
Mapl,0.0,0.0,0.0,100.0
Maple syrup,0.0,0.0,50.0,20.0
Margarine liquid,4.0,0.1,34.0,5.0
Margarine soft,5.0,0.1,102.0,14.0
Margarine stick or brick,6.0,0.1,101.0,14.0
Marinara sauce,0.0,0.0,0.0,100.0
Marmalade,3.0,0.1,50.0,19.0
Marshmallow,4.0,0.2,26.0,8.0
Masala Powder,0.0,0.0,0.0,100.0
Masala powder,50.0,5.0,350.0,100.0
Mayonaise,0.0,0.0,0.0,100.0
Mayonnaise,5.0,0.1,66.0,9.0
Maypo Oat,34.0,0.7,21.0,30.0
Millet flour,0.0,0.0,0.0,350.0
Mint,0.0,0.0,0.0,100.0
Mint Leaves,0.0,0.0,0.0,100.0
Mint leaves,0.0,0.0,0.0,100.0
Miso Paste,0.0,0.0,0.0,100.0
Miso subsituite,15.0,0.2,140.0,1.0
Mixed,30.0,0.6,23.0,6.0
Mixed Fruit,15.0,0.3,56.0,115.0
Mixed Vegetables,15.0,0.3,11.0,27.0
Mixed fruit juice,15.0,0.3,60.0,125.0
Mixed fruit, canned, heavy syrup,14.0,0.5,92.0,127.0
Mixed vegetables,0.0,0.0,0.0,300.0
Mixed/apples/banans,30.0,0.6,41.0,54.0
Mixed/applesauce/bananas,30.0,0.6,49.0,57.0
Molasses,0.0,0.0,48.0,21.0
Mushroom, Cream of,16.0,0.4,20.0,20.0
Mushrooms,0.0,0.0,0.0,100.0
Mustard,0.0,0.0,0.0,100.0
Mustard Seeds,350.0,26.0,508.0,100.0
Mustard greens, cooked,0.0,0.0,0.0,505.0
Napa Cabbage,0.0,0.0,0.0,1040.0
Nectarines, sliced,16.0,0.5,25.0,52.0
Noodles,26.0,0.5,17.0,13.0
Nopales, cooked, chopped,42.0,1.35,22.0,100.0
Nutmeg,0.0,0.0,0.0,100.0
Nutrigrain Barley,31.0,0.6,19.0,5.0
Nutrigrain Corn,32.0,0.6,30.0,8.0
Nutrigrain Rye,31.0,0.7,27.0,8.0
Oat Flakes,29.0,0.6,11.0,3.0
Oat fiber,0.0,0.0,200.0,100.0
Oat milk,6.0,0.2,40.0,100.0
Oat milk dressing,10.0,0.3,180.0,100.0
Oatmeal,27.0,0.4,12.0,3.0
Oatmeal/apples/cinnamon,30.0,0.6,36.0,53.0
Oatmeal/applesauce/bananas,30.0,0.5,35.0,42.0
Oatmeal/banana,27.0,0.4,16.0,4.0
Oatmeal/mixed fruit,32.0,0.6,25.0,6.0
Oats, regular, quick, and instant,28.0,0.5,12.0,20.0
Oil,0.0,0.0,0.0,100.0
Oil, vegetable,0.0,0.0,0.0,100.0
Okra,0.0,0.0,0.0,350.0
Okra, pods or sliced, cooked,16.0,0.5,8.0,23.0
Olive Oil,0.0,0.0,0.0,100.0
Olive oil,0.0,0.0,0.0,100.0
Olives,0.0,0.0,0.0,100.0
Olives, black or green,4.0,0.2,15.0,10.0
Onion,0.0,0.0,0.0,100.0
Onion Powder,52.0,1.04,34.0,10.0
Onion rings,18.0,0.4,90.0,25.0
Onion, raw,0.0,0.0,0.0,100.0
Onions,0.0,0.0,0.0,100.0
Onions, cooked,15.0,0.7,20.0,75.0
Onions, green, raw,0.0,0.27,5.0,15.0
Onions, raw,15.0,0.6,15.0,50.0
Orange juice,7.0,0.6,47.0,100.0
Orange juice, canned,17.0,1.5,105.0,249.0
Orange juice, frozen, diluted,15.0,1.3,84.0,187.0
Orange sections,14.0,0.4,21.0,45.0
Oranges,0.0,0.0,0.0,100.0
Oreo ®,24.0,0.5,53.0,11.0
PKU Bread,0.0,0.0,0.0,100.0
PKU bread,10.0,1.0,150.0,100.0
Palm oil,0.0,0.0,0.0,100.0
Papaya,6.0,0.5,43.0,100.0
Papaya nectar,5.0,0.4,142.0,250.0
Papaya tropical fruit dessert,5.0,0.2,53.0,83.0
Papaya, cubed,13.0,0.9,54.0,140.0
Paprika,0.0,0.0,0.0,100.0
Parsley,0.0,0.0,0.0,100.0
Parsnip, raw,85.0,1.2,75.0,100.0
Parsnips,0.0,0.0,0.0,100.0
Parsnips, cooked,15.0,0.6,48.0,58.0
Passion fruit , whole, small,12.0,0.4,73.0,18.0
Passion fruit juice,14.0,0.5,63.0,124.0
Pasta,0.0,0.0,0.0,100.0
Peach cobbler dessert, 2nd Foods,15.0,0.7,103.0,136.0
Peach cobbler dessert, 3rd Foods,14.0,0.6,54.0,125.0
Peach fruit pie filling,5.0,0.2,54.0,50.0
Peach nectar,5.0,0.2,34.0,62.0
Peach/mango dessert,5.0,0.2,47.0,78.0
