Algorithm,Safe Recs,Liked,Acceptance (%)
collaborative_selected,449,35,7.8
collaborative_all,449,33,7.3
hybrid_selected,511,36,7.0
content_based_selected,564,33,5.9
hybrid_all,509,30,5.9
popularity_selected,575,34,5.9
content_based_all,538,21,3.9
random,565,6,1.1
popularity_all,559,2,0.4
